id,block,response,time_response,reward,points,key_a,key_s,key_d,key_f
1.000,3.000,4.000,26.518,1.000,190.000,0.380,0.309,0.589,0.606
1.000,3.000,4.000,27.355,1.000,200.000,0.437,0.424,0.583,0.641
1.000,3.000,4.000,28.227,1.000,210.000,0.380,0.286,0.345,0.482
1.000,3.000,4.000,29.064,0.000,210.000,0.449,0.458,0.448,0.460
1.000,3.000,2.000,30.016,1.000,220.000,0.395,0.533,0.342,0.380
1.000,3.000,2.000,30.928,1.000,230.000,0.517,0.580,0.474,0.419
1.000,3.000,2.000,31.775,1.000,240.000,0.489,0.493,0.393,0.352
1.000,3.000,2.000,32.663,0.000,240.000,0.456,0.424,0.336,0.405
1.000,3.000,3.000,33.524,0.000,240.000,0.352,0.349,0.392,0.523
1.000,3.000,1.000,34.401,0.000,240.000,0.439,0.378,0.451,0.451
1.000,3.000,1.000,35.243,0.000,240.000,0.423,0.327,0.428,0.530
1.000,3.000,3.000,36.155,0.000,240.000,0.431,0.302,0.463,0.452
1.000,3.000,2.000,37.053,0.000,240.000,0.252,0.259,0.317,0.487
1.000,3.000,4.000,37.945,0.000,240.000,0.260,0.296,0.423,0.478
1.000,3.000,4.000,38.807,0.000,240.000,0.297,0.418,0.375,0.565
1.000,3.000,4.000,39.699,0.000,240.000,0.314,0.318,0.440,0.516
1.000,3.000,2.000,40.651,0.000,240.000,0.427,0.401,0.469,0.591
1.000,3.000,3.000,41.563,1.000,250.000,0.452,0.449,0.552,0.573
1.000,3.000,3.000,42.501,0.000,250.000,0.491,0.419,0.504,0.639
1.000,3.000,3.000,43.313,1.000,260.000,0.377,0.393,0.559,0.653
1.000,3.000,3.000,44.200,0.000,260.000,0.336,0.290,0.543,0.671
1.000,3.000,3.000,45.067,1.000,270.000,0.431,0.387,0.618,0.542
1.000,3.000,3.000,45.949,0.000,270.000,0.382,0.376,0.554,0.342
1.000,3.000,3.000,46.786,0.000,270.000,0.402,0.365,0.581,0.284
1.000,3.000,1.000,47.628,0.000,270.000,0.284,0.421,0.640,0.307
1.000,3.000,2.000,48.545,1.000,280.000,0.281,0.502,0.492,0.283
1.000,3.000,2.000,49.402,0.000,280.000,0.276,0.497,0.455,0.368
1.000,3.000,2.000,50.239,0.000,280.000,0.340,0.562,0.472,0.398
1.000,3.000,1.000,51.066,0.000,280.000,0.269,0.482,0.397,0.570
1.000,3.000,1.000,51.998,0.000,280.000,0.253,0.576,0.333,0.657
1.000,3.000,3.000,52.840,1.000,290.000,0.412,0.565,0.364,0.727
1.000,3.000,3.000,53.707,1.000,300.000,0.369,0.530,0.316,0.654
1.000,3.000,3.000,54.565,1.000,310.000,0.413,0.462,0.386,0.566
1.000,3.000,3.000,55.426,1.000,320.000,0.431,0.390,0.403,0.367
1.000,3.000,3.000,56.252,1.000,330.000,0.451,0.326,0.474,0.349
1.000,3.000,3.000,57.158,1.000,340.000,0.444,0.425,0.613,0.329
1.000,3.000,3.000,58.007,0.000,340.000,0.430,0.300,0.586,0.306
1.000,3.000,3.000,58.924,0.000,340.000,0.434,0.334,0.574,0.276
1.000,3.000,3.000,59.746,1.000,350.000,0.456,0.401,0.664,0.281
1.000,3.000,3.000,60.613,0.000,350.000,0.419,0.357,0.658,0.327
1.000,3.000,3.000,61.525,1.000,360.000,0.421,0.485,0.632,0.265
1.000,3.000,3.000,62.382,1.000,370.000,0.510,0.528,0.730,0.336
1.000,3.000,3.000,63.229,1.000,380.000,0.514,0.683,0.602,0.463
1.000,3.000,3.000,64.066,0.000,380.000,0.478,0.635,0.560,0.516
1.000,3.000,3.000,64.938,0.000,380.000,0.372,0.648,0.672,0.498
1.000,3.000,2.000,65.800,0.000,380.000,0.438,0.618,0.637,0.612
1.000,3.000,4.000,66.703,1.000,390.000,0.352,0.591,0.544,0.553
1.000,3.000,4.000,67.525,0.000,390.000,0.389,0.620,0.372,0.416
1.000,3.000,4.000,68.442,0.000,390.000,0.453,0.629,0.420,0.329
1.000,3.000,3.000,69.284,0.000,390.000,0.371,0.652,0.340,0.384
1.000,3.000,3.000,70.161,1.000,400.000,0.262,0.540,0.385,0.343
1.000,3.000,3.000,71.028,0.000,400.000,0.314,0.441,0.269,0.336
1.000,3.000,2.000,71.920,0.000,400.000,0.436,0.392,0.281,0.425
1.000,3.000,1.000,72.742,1.000,410.000,0.472,0.357,0.285,0.423
1.000,3.000,1.000,73.619,1.000,420.000,0.419,0.365,0.368,0.434
1.000,3.000,1.000,74.501,1.000,430.000,0.585,0.442,0.271,0.457
1.000,3.000,1.000,75.363,0.000,430.000,0.503,0.439,0.314,0.533
1.000,3.000,1.000,76.220,1.000,440.000,0.653,0.499,0.267,0.618
1.000,3.000,1.000,77.077,1.000,450.000,0.642,0.568,0.285,0.642
1.000,3.000,1.000,77.939,1.000,460.000,0.578,0.602,0.466,0.690
1.000,3.000,1.000,78.821,1.000,470.000,0.526,0.543,0.497,0.626
1.000,3.000,1.000,79.648,0.000,470.000,0.414,0.633,0.391,0.598
1.000,3.000,2.000,80.570,1.000,480.000,0.453,0.688,0.313,0.546
1.000,3.000,2.000,81.402,1.000,490.000,0.370,0.627,0.340,0.418
1.000,3.000,2.000,82.249,0.000,490.000,0.316,0.566,0.441,0.375
1.000,3.000,2.000,83.051,1.000,500.000,0.262,0.614,0.416,0.396
1.000,3.000,2.000,83.893,0.000,500.000,0.317,0.417,0.343,0.300
1.000,3.000,3.000,84.745,0.000,500.000,0.394,0.494,0.459,0.311
1.000,3.000,4.000,85.627,0.000,500.000,0.356,0.509,0.322,0.437
1.000,3.000,2.000,86.434,1.000,510.000,0.423,0.491,0.400,0.363
1.000,3.000,2.000,87.361,0.000,510.000,0.360,0.457,0.372,0.406
1.000,3.000,2.000,88.218,1.000,520.000,0.411,0.576,0.370,0.415
1.000,3.000,2.000,89.095,1.000,530.000,0.395,0.512,0.311,0.438
1.000,3.000,2.000,89.947,0.000,530.000,0.465,0.538,0.325,0.332
1.000,3.000,3.000,90.829,1.000,540.000,0.460,0.547,0.350,0.418
1.000,3.000,3.000,91.761,0.000,540.000,0.497,0.498,0.379,0.385
1.000,3.000,3.000,92.688,1.000,550.000,0.652,0.470,0.417,0.309
1.000,3.000,3.000,93.580,1.000,560.000,0.637,0.413,0.500,0.310
1.000,3.000,3.000,94.483,0.000,560.000,0.513,0.401,0.340,0.428
1.000,3.000,4.000,95.365,1.000,570.000,0.585,0.364,0.352,0.428
1.000,3.000,4.000,96.283,1.000,580.000,0.497,0.329,0.417,0.562
1.000,3.000,4.000,97.160,1.000,590.000,0.453,0.255,0.319,0.576
1.000,3.000,4.000,98.022,0.000,590.000,0.465,0.288,0.410,0.522
1.000,3.000,4.000,98.894,0.000,590.000,0.497,0.308,0.406,0.519
1.000,3.000,1.000,99.871,0.000,590.000,0.340,0.284,0.346,0.542
1.000,3.000,4.000,100.768,1.000,600.000,0.292,0.374,0.444,0.597
1.000,3.000,4.000,101.635,1.000,610.000,0.363,0.367,0.373,0.645
1.000,3.000,4.000,102.568,1.000,620.000,0.313,0.319,0.444,0.677
1.000,3.000,4.000,103.174,1.000,630.000,0.297,0.392,0.415,0.691
1.000,3.000,4.000,103.846,1.000,640.000,0.334,0.361,0.457,0.708
1.000,3.000,4.000,104.648,0.000,640.000,0.468,0.382,0.484,0.515
1.000,3.000,3.000,105.485,0.000,640.000,0.405,0.422,0.647,0.588
1.000,3.000,2.000,106.496,0.000,640.000,0.451,0.320,0.540,0.583
1.000,3.000,4.000,107.509,0.000,640.000,0.316,0.324,0.571,0.659
1.000,3.000,1.000,108.467,1.000,650.000,0.262,0.409,0.553,0.625
1.000,3.000,1.000,109.459,0.000,650.000,0.349,0.382,0.438,0.656
1.000,3.000,1.000,110.406,0.000,650.000,0.428,0.263,0.447,0.724
1.000,3.000,3.000,111.413,0.000,650.000,0.446,0.313,0.372,0.657
1.000,3.000,2.000,112.426,0.000,650.000,0.388,0.288,0.427,0.645
1.000,3.000,4.000,113.343,1.000,660.000,0.443,0.453,0.442,0.562
1.000,3.000,4.000,114.336,0.000,660.000,0.497,0.502,0.558,0.474
1.000,3.000,4.000,115.278,0.000,660.000,0.537,0.477,0.509,0.494
1.000,3.000,3.000,116.190,0.000,660.000,0.494,0.399,0.476,0.427
1.000,3.000,2.000,117.147,1.000,670.000,0.411,0.480,0.482,0.429
1.000,3.000,2.000,118.039,0.000,670.000,0.336,0.491,0.499,0.318
1.000,3.000,2.000,119.192,0.000,670.000,0.272,0.396,0.548,0.332
1.000,3.000,1.000,120.179,0.000,670.000,0.380,0.398,0.476,0.280
1.000,3.000,3.000,121.210,1.000,680.000,0.298,0.327,0.574,0.256
1.000,3.000,3.000,122.224,1.000,690.000,0.427,0.334,0.579,0.414
1.000,3.000,3.000,123.497,1.000,700.000,0.559,0.357,0.656,0.469
1.000,3.000,3.000,124.785,1.000,710.000,0.533,0.254,0.552,0.415
1.000,3.000,3.000,125.723,0.000,710.000,0.577,0.274,0.614,0.334
1.000,3.000,3.000,126.671,0.000,710.000,0.583,0.323,0.560,0.472
1.000,3.000,2.000,127.508,1.000,720.000,0.628,0.301,0.672,0.512
1.000,3.000,2.000,128.911,0.000,720.000,0.610,0.369,0.666,0.478
1.000,3.000,4.000,129.989,0.000,720.000,0.690,0.410,0.626,0.439
1.000,3.000,2.000,130.951,1.000,730.000,0.570,0.679,0.715,0.419
1.000,3.000,2.000,131.858,1.000,740.000,0.619,0.669,0.633,0.505
1.000,3.000,2.000,132.760,1.000,750.000,0.583,0.663,0.708,0.649
1.000,3.000,2.000,133.703,0.000,750.000,0.470,0.569,0.728,0.657
1.000,3.000,3.000,134.630,1.000,760.000,0.600,0.602,0.687,0.618
1.000,3.000,3.000,135.572,1.000,770.000,0.464,0.538,0.565,0.603
1.000,3.000,3.000,136.555,1.000,780.000,0.406,0.476,0.540,0.678
1.000,3.000,3.000,137.432,0.000,780.000,0.414,0.526,0.438,0.695
1.000,3.000,3.000,138.499,0.000,780.000,0.422,0.433,0.421,0.635
1.000,3.000,1.000,139.511,1.000,790.000,0.351,0.453,0.455,0.667
1.000,3.000,1.000,140.494,0.000,790.000,0.336,0.525,0.445,0.689
1.000,3.000,4.000,141.662,0.000,790.000,0.382,0.563,0.429,0.705
1.000,3.000,2.000,142.714,1.000,800.000,0.529,0.606,0.513,0.749
1.000,3.000,2.000,143.787,1.000,810.000,0.511,0.642,0.663,0.727
1.000,3.000,2.000,144.814,0.000,810.000,0.427,0.737,0.607,0.645
1.000,3.000,2.000,146.027,0.000,810.000,0.298,0.687,0.477,0.525
1.000,3.000,3.000,147.082,0.000,810.000,0.331,0.666,0.482,0.512
1.000,3.000,3.000,148.157,0.000,810.000,0.296,0.584,0.467,0.459
1.000,3.000,4.000,149.244,0.000,810.000,0.383,0.600,0.445,0.387
1.000,3.000,4.000,150.212,1.000,820.000,0.419,0.615,0.477,0.458
1.000,3.000,1.000,151.119,1.000,830.000,0.382,0.642,0.486,0.437
1.000,3.000,1.000,152.036,0.000,830.000,0.379,0.642,0.423,0.504
1.000,3.000,1.000,152.993,0.000,830.000,0.440,0.637,0.458,0.494
1.000,3.000,1.000,153.860,0.000,830.000,0.362,0.655,0.479,0.446
1.000,3.000,4.000,154.838,1.000,840.000,0.346,0.705,0.528,0.452
1.000,3.000,4.000,155.790,0.000,840.000,0.405,0.671,0.471,0.545
1.000,3.000,4.000,156.864,0.000,840.000,0.437,0.574,0.414,0.543
1.000,3.000,4.000,157.811,0.000,840.000,0.508,0.530,0.316,0.462
1.000,3.000,3.000,158.757,0.000,840.000,0.590,0.516,0.263,0.361
1.000,3.000,3.000,159.680,1.000,850.000,0.718,0.572,0.375,0.412
1.000,3.000,3.000,160.578,1.000,860.000,0.665,0.652,0.448,0.357
1.000,3.000,3.000,161.425,0.000,860.000,0.539,0.611,0.450,0.311
1.000,3.000,3.000,162.272,1.000,870.000,0.495,0.546,0.586,0.370
1.000,3.000,3.000,163.063,1.000,880.000,0.489,0.520,0.637,0.423
1.000,3.000,3.000,163.910,0.000,880.000,0.413,0.440,0.641,0.440
1.000,3.000,3.000,164.822,1.000,890.000,0.354,0.488,0.601,0.517
1.000,3.000,3.000,165.544,1.000,900.000,0.414,0.449,0.476,0.593
1.000,3.000,3.000,166.757,1.000,910.000,0.287,0.481,0.517,0.563
1.000,3.000,3.000,167.865,1.000,920.000,0.348,0.583,0.523,0.476
1.000,3.000,3.000,168.626,1.000,930.000,0.425,0.385,0.585,0.511
1.000,3.000,3.000,169.604,0.000,930.000,0.378,0.379,0.547,0.499
1.000,3.000,3.000,170.506,0.000,930.000,0.350,0.309,0.650,0.458
1.000,3.000,2.000,171.869,1.000,940.000,0.457,0.369,0.694,0.516
1.000,3.000,2.000,172.691,1.000,950.000,0.488,0.471,0.580,0.506
1.000,3.000,2.000,174.064,0.000,950.000,0.535,0.501,0.585,0.556
1.000,3.000,2.000,174.951,0.000,950.000,0.584,0.515,0.587,0.662
1.000,3.000,3.000,175.653,1.000,960.000,0.626,0.513,0.618,0.743
1.000,3.000,3.000,177.306,1.000,970.000,0.735,0.504,0.673,0.653
1.000,3.000,3.000,178.113,1.000,980.000,0.651,0.479,0.732,0.635
1.000,3.000,3.000,179.547,1.000,990.000,0.739,0.550,0.707,0.500
1.000,3.000,3.000,180.499,1.000,1000.000,0.710,0.724,0.732,0.468
1.000,3.000,3.000,181.541,0.000,1000.000,0.619,0.695,0.717,0.439
1.000,3.000,3.000,182.584,1.000,1010.000,0.699,0.557,0.729,0.425
1.000,3.000,3.000,183.581,1.000,1020.000,0.492,0.481,0.640,0.401
1.000,3.000,3.000,184.483,1.000,1030.000,0.444,0.428,0.585,0.278
